instance,customers,run,method,checkpoint,q,BestCost,BKS
6.10.1,6,6,coop,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,coop,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,coop,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,coop,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,coop,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,coop,0,0/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,coop,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,coop,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,coop,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,coop,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,coop,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,coop,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,coop,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,coop,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,coop,0,0/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,coop,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,coop,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,coop,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,coop,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,coop,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,coop,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,coop,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,coop,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,coop,0,0/8,1916.6722734186055,1078.7476708790684
6.10.1,6,9,coop,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,coop,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,coop,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,coop,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,coop,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,coop,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,coop,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,coop,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,coop,0,0/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,coop,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,coop,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,coop,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,coop,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,coop,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,coop,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,coop,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,coop,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,ims,0,0/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,ims,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,ims,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,ims,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,ims,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,ims,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,ims,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,ims,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,1,ims,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,ims,0,0/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,ims,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,ims,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,2,ims,3,3/8,1078.7476708790684,1078.7476708790684
