instance,n,set,Tn,run,seed,bks,ims-final,coop-final,delta_coop,ims-evals,coop-evals
10.10.4,10,held-out,1.0,6,600,1359.633305210052,1359.633305210052,1359.633305210052,0.0,28272384,27729322
10.10.4,10,held-out,1.0,7,700,1359.633305210052,1359.633305210052,1359.633305210052,0.0,28519114,28808392
10.10.4,10,held-out,1.0,8,800,1359.633305210052,1359.633305210052,1359.633305210052,0.0,28205733,28718194
10.10.4,10,held-out,1.0,9,900,1359.633305210052,1359.633305210052,1359.633305210052,0.0,28476070,27779431
10.10.4,10,held-out,1.0,10,1000,1359.633305210052,1359.633305210052,1359.633305210052,0.0,28247798,28978814
10.20.1,10,held-out,1.0,1,100,5738.066783105984,5738.066783105984,5738.066783105984,0.0,34890492,35643222
10.20.1,10,held-out,1.0,2,200,5738.066783105984,5738.066783105984,5738.066783105984,0.0,34462182,35480940
10.20.1,10,held-out,1.0,3,300,5738.066783105984,5738.066783105984,5738.066783105984,0.0,34416090,35479827
10.20.1,10,held-out,1.0,4,400,5738.066783105984,5738.066783105984,5738.066783105984,0.0,34214098,34437096
10.20.1,10,held-out,1.0,5,500,5738.066783105984,5738.066783105984,5738.066783105984,0.0,35328580,35624195
10.20.1,10,held-out,1.0,6,600,5738.066783105984,5738.066783105984,5738.066783105984,0.0,34199492,35507942
10.20.1,10,held-out,1.0,7,700,5738.066783105984,5738.066783105984,5738.066783105984,0.0,34380461,34318936
10.20.1,10,held-out,1.0,8,800,5738.066783105984,5738.066783105984,5738.066783105984,0.0,33600308,35470146
10.20.1,10,held-out,1.0,9,900,5738.066783105984,5738.066783105984,5738.066783105984,0.0,34678877,35290748
10.20.1,10,held-out,1.0,10,1000,5738.066783105984,5738.066783105984,5738.066783105984,0.0,34846581,35553351
10.20.2,10,held-out,1.0,1,100,6973.407432305421,6973.407432305421,6973.407432305421,0.0,40942646,41044926
10.20.2,10,held-out,1.0,2,200,6973.407432305421,6973.407432305421,6973.407432305421,0.0,41826925,43119391
10.20.2,10,held-out,1.0,3,300,6973.407432305421,6973.407432305421,6973.407432305421,0.0,42329371,43121859
10.20.2,10,held-out,1.0,4,400,6973.407432305421,6973.407432305421,6973.407432305421,0.0,40120217,41394762
10.20.2,10,held-out,1.0,5,500,6973.407432305421,6973.407432305421,6973.407432305421,0.0,39991681,39867390
10.20.2,10,held-out,1.0,6,600,6973.407432305421,6973.407432305421,6973.407432305421,0.0,41679001,43094462
10.20.2,10,held-out,1.0,7,700,6973.407432305421,6973.407432305421,6973.407432305421,0.0,42004226,43309800
10.20.2,10,held-out,1.0,8,800,6973.407432305421,6973.407432305421,6973.407432305421,0.0,41908230,42966908
10.20.2,10,held-out,1.0,9,900,6973.407432305421,6973.407432305421,6973.407432305421,0.0,41266680,42342565
10.20.2,10,held-out,1.0,10,1000,6973.407432305421,6973.407432305421,6973.407432305421,0.0,40599828,42593746
10.20.3,10,held-out,1.0,1,100,6468.868414029823,6468.868414029823,6468.868414029823,0.0,37830252,38863831
10.20.3,10,held-out,1.0,2,200,6468.868414029823,6468.868414029823,6468.868414029823,0.0,37571934,38815343
10.20.3,10,held-out,1.0,3,300,6468.868414029823,6468.868414029823,6468.868414029823,0.0,37645287,38845718
10.20.3,10,held-out,1.0,4,400,6468.868414029823,6468.868414029823,6468.868414029823,0.0,37673483,38827735
10.20.3,10,held-out,1.0,5,500,6468.868414029823,6468.868414029823,6468.868414029823,0.0,36764007,38915514
10.20.3,10,held-out,1.0,6,600,6468.868414029823,6468.868414029823,6468.868414029823,0.0,37985954,38942507
10.20.3,10,held-out,1.0,7,700,6468.868414029823,6468.868414029823,6468.868414029823,0.0,37487727,38931966
10.20.3,10,held-out,1.0,8,800,6468.868414029823,6468.868414029823,6468.868414029823,0.0,37222970,38906518
10.20.3,10,held-out,1.0,9,900,6468.868414029823,6468.868414029823,6468.868414029823,0.0,37875269,38955045
10.20.3,10,held-out,1.0,10,1000,6468.868414029823,6468.868414029823,6468.868414029823,0.0,38120780,38858836
10.20.4,10,held-out,1.0,1,100,6469.04259277102,6469.04259277102,6469.04259277102,0.0,41207523,42905753
10.20.4,10,held-out,1.0,2,200,6469.04259277102,6469.04259277102,6469.04259277102,0.0,40565936,41691272
10.20.4,10,held-out,1.0,3,300,6469.04259277102,6469.04259277102,6469.04259277102,0.0,41435311,42911265
