n,instance,pool_set,pool_size,strategy,run,final_cost,final_rpd_pct,pull_accept_count,pull_offer_count,ar_pct,pull_round_improved_count,er_pct,pool_diversity
200,200.10.2,po2,3,edge-crowding,2,1450.3625347249397,-0.7937395364057838,29,57,50.877192982456144,23,79.3103448275862,0.5072828157303403
200,200.10.2,po2,3,edge-crowding,3,1441.6999526124157,-1.3862688914923775,20,54,37.03703703703704,19,95.0,0.5596922718960083
200,200.10.2,po2,3,edge-crowding,4,1463.3610112089539,0.09536936762942343,17,54,31.48148148148148,16,94.11764705882352,0.6013209561631706
200,200.10.2,po2,3,edge-crowding,5,1463.3610112089539,0.09536936762942343,21,57,36.84210526315789,13,61.904761904761905,0.5925150836068893
200,200.10.2,po2,3,edge-crowding,6,1465.7466578669541,0.2585500056156096,24,57,42.10526315789473,17,70.83333333333334,0.5902794394526735
200,200.10.2,po2,3,edge-crowding,7,1443.6984563751698,-1.2495692180808193,26,57,45.614035087719294,25,96.15384615384616,0.4722098776458335
200,200.10.2,po2,3,edge-crowding,8,1455.8169841479562,-0.42064969356321497,29,57,50.877192982456144,20,68.96551724137932,0.569361314396143
200,200.10.2,po2,3,edge-crowding,9,1459.126030442043,-0.19430758896691666,24,59,40.67796610169492,16,66.66666666666666,0.4990726273751493
200,200.10.2,po2,3,edge-crowding,10,1474.138078860037,0.8325316665920713,28,60,46.666666666666664,18,64.28571428571429,0.5799058713238879
200,200.10.2,po2,3,random-target,1,1442.8718866613165,-1.3061074203306495,35,58,60.3448275862069,28,80.0,0.03801375846973362
200,200.10.2,po2,3,random-target,2,1453.9038902945936,-0.5515072430130754,35,58,60.3448275862069,28,80.0,0.01925739719110121
200,200.10.2,po2,3,random-target,3,1442.985654692163,-1.2983255722544806,33,55,60.0,26,78.78787878787878,0.0
200,200.10.2,po2,3,random-target,4,1460.0413857838187,-0.13169636020254177,43,57,75.43859649122807,34,79.06976744186046,0.1116111339074189
200,200.10.2,po2,3,random-target,5,1467.9345522351307,0.40820418749043197,34,56,60.71428571428571,23,67.64705882352942,0.24265117388963764
200,200.10.2,po2,3,random-target,6,1461.7519973763078,-0.01468880165532155,36,55,65.45454545454545,28,77.77777777777779,0.0037453183520599342
200,200.10.2,po2,3,random-target,7,1457.5062307083242,-0.30510352476557534,30,60,50.0,21,70.0,0.0
200,200.10.2,po2,3,random-target,8,1444.1649171843558,-1.217662828178838,33,58,56.896551724137936,25,75.75757575757575,0.00466727540909775
200,200.10.2,po2,3,random-target,9,1444.1463089492745,-1.2189356502299058,41,59,69.49152542372882,36,87.8048780487805,0.0
200,200.10.2,po2,3,random-target,10,1474.9934519172612,0.8910400465845347,39,58,67.24137931034483,29,74.35897435897436,0.1571734923944422
200,200.10.2,po3,4,quality-only,1,1462.3344635455499,0.025152471897718093,31,62,50.0,24,77.41935483870968,0.12266364119899702
200,200.10.2,po3,4,quality-only,2,1446.7740090817244,-1.0391983104140448,37,60,61.66666666666667,22,59.45945945945946,0.03910765009551664
200,200.10.2,po3,4,quality-only,3,1444.1649171843558,-1.217662828178838,23,54,42.592592592592595,18,78.26086956521739,0.0
200,200.10.2,po3,4,quality-only,4,1463.3610112089539,0.09536936762942343,40,57,70.17543859649122,24,60.0,0.16731186274964327
